source_name,destination_name,avg_distance_km,avg_time_min,trip_count,route_types
Hyderabad_South_D_4 (Telangana),Hyderabad_Uppal_I (Telangana),14.70570838190364,56.89473684210526,19,Carting
Hyderabad_South_R_11 (Telangana),Hyderabad_Mhdiptnm_C (Telangana),16.45340694579684,65.9090909090909,11,Carting
Hyderabad_Tolichwk_I (Telangana),Hyderabad_Kondapur_D (Telangana),9.33539944717219,52.0,1,Carting
Hyderabad_Tolichwk_I (Telangana),Hyderabad_Shamshbd_H (Telangana),17.705948355232717,150.46153846153845,13,Carting
Hyderabad_Tolichwk_L (Telangana),Hyderabad_Shamshbd_H (Telangana),17.040572627438735,113.66666666666667,6,Carting
Hyderabad_Uppal_I (Telangana),Bhuvanagiri_HBColny_D (Telangana),33.851299237720916,65.38461538461539,13,FTL
Hyderabad_Uppal_I (Telangana),Hyd_LB-Nagar_Dc (Telangana),9.864476800165345,38.5,2,Carting
Hyderabad_Uppal_I (Telangana),Hyderabad_Shamshbd_H (Telangana),26.808461863457975,172.26666666666668,15,Carting
Hyderabad_Uppal_I (Telangana),Hyderabad_South_D_12 (Telangana),9.34399351496303,38.875,8,Carting
Hyderabad_Uppal_L (Telangana),Hyderabad_Shamshbd_H (Telangana),27.175024476426245,89.75,8,Carting
Jadcherla_Badeplly_D (Telangana),Hyderabad_Shamshbd_H (Telangana),58.52111334619552,92.28571428571429,14,FTL
Jadcherla_Badeplly_D (Telangana),Shadnagar_Central_D_1 (Telangana),31.359132295969808,53.6,5,FTL
Jagtial_Aravind_D (Telangana),DhrmpuriTS_HanumDPP_D (Telangana),23.41704290630322,32.166666666666664,12,FTL
Jammikunta_ConduDPP_D (Telangana),Warangal_HunterRd_I (Telangana),35.72885532434958,167.1875,16,FTL
Jangaon_Hanmkond_D (Telangana),Hyderabad_Shamshbd_H (Telangana),97.87700688262416,196.75,16,FTL
JoguGadwal_ColctrOf_D (Telangana),Wanaparthy_VallaDPP_D (Telangana),30.21532942036044,77.33333333333333,9,FTL
Kadthal_GndhiDPP_D (Telangana),Devarakonda_DindiRD_D (Telangana),54.649391227494604,132.375,8,FTL
Kadthal_GndhiDPP_D (Telangana),Kalwakurthy_VidyaNGR_D (Telangana),34.872567489404176,58.111111111111114,9,FTL
Kaghaznagar_Central_DPP_1 (Telangana),Asifabad_PaikjNGR_D (Telangana),19.173898824504505,33.0,2,FTL
Kaghaznagar_Central_DPP_1 (Telangana),Karimnagar_KamnHbRD_I (Telangana),109.03195757112496,200.0,1,FTL
Kaghaznagar_Central_DPP_1 (Telangana),Mancherial_Hitech_D (Telangana),52.112239418402766,76.0,1,FTL
Kalwakurthy_VidyaNGR_D (Telangana),Devarakonda_DindiRD_D (Telangana),43.65025795104085,75.375,8,FTL
Kamareddy_Devenply_I (Telangana),Bodhan_SuryaDPP_D (Telangana),59.25970224824529,111.6,20,FTL
Kamareddy_Devenply_I (Telangana),Hyderabad_Shamshbd_H (Telangana),120.5599667454678,252.07692307692307,13,FTL
Kamareddy_Devenply_I (Telangana),Karimnagar_KamnHbRD_I (Telangana),85.26531025390285,125.0,1,FTL
Karimnagar_DC (Telangana),Jagtial_Aravind_D (Telangana),43.62873799696725,69.0,1,FTL
Karimnagar_DC (Telangana),Vemulawada_Central_DPP_2 (Telangana),28.108649696652954,53.44444444444444,9,FTL
Karimnagar_KamnHbRD_I (Telangana),Bellmpalli_BasthDPP_D (Telangana),81.28434504711451,184.0,1,FTL
Karimnagar_KamnHbRD_I (Telangana),Hyderabad_Shamshbd_H (Telangana),153.84449067070992,340.0,1,FTL
Karimnagar_KamnHbRD_I (Telangana),Kamareddy_Devenply_I (Telangana),86.04642235363696,125.5,2,FTL
Karimnagar_KamnHbRD_I (Telangana),Mancherial_Hitech_D (Telangana),60.397476334498585,101.0,11,FTL
Karimnagar_KamnHbRD_I (Telangana),Manthani_Chaitnya_D (Telangana),62.313931432964864,158.0,3,FTL
Karimnagar_KamnHbRD_I (Telangana),Peddapalli_UdaynDPP_D (Telangana),31.161735178846413,41.0,1,FTL
Karimnagar_KamnHbRD_I (Telangana),Ramagundam_Pdmavati_D (Telangana),53.74652993298617,136.28571428571428,7,FTL
Karimnagar_KamnHbRD_I (Telangana),Vemulawada_Central_DPP_2 (Telangana),28.61459438939075,56.75,4,FTL
Khammam_NSTRoad_I (Telangana),Kodad_VidyaNgr_D (Telangana),35.20537859052258,76.58333333333333,12,FTL
Khammam_NSTRoad_I (Telangana),Kusumnchi_SKRoad_D (Telangana),20.34973409982966,35.333333333333336,3,FTL
Khammam_NSTRoad_I (Telangana),Manuguru_AskNagar_D (Telangana),102.59248568430392,162.0,1,FTL
Khammam_NSTRoad_I (Telangana),Miryalguda_Ragvendr_D (Telangana),77.10858681716303,129.0,2,FTL
