hub_name,city,facility_code,hub_type,state,latitude,longitude
Kusumnchi_SKRoad_D (Telangana),Kusumnchi,SKRoad,Delivery,Telangana,17.237265339215767,79.97615291674748
Luxettipet_ShivaDPP_D (Telangana),Luxettipet,ShivaDPP,Delivery,Telangana,19.37782414420973,78.77662975479656
Mahabubnagar_DC (Telangana),Mahabubnagar,,Distribution Center,Telangana,16.70554985744098,77.95022909471699
Mahadevpur_Kataram_D (Telangana),Mahadevpur,Kataram,Delivery,Telangana,18.71778486111877,79.98525509439324
Mahbubabad_Yellanda_D (Telangana),Mahbubabad,Yellanda,Delivery,Telangana,17.611705637857657,79.9901617811523
Mancherial_Hitech_D (Telangana),Mancherial,Hitech,Delivery,Telangana,18.97638462110728,79.5354456808908
Manthani_Chaitnya_D (Telangana),Manthani,Chaitnya,Delivery,Telangana,18.64231675982335,79.65848015407266
Manuguru_AskNagar_D (Telangana),Manuguru,AskNagar,Delivery,Telangana,17.93955302424917,80.80264544561099
Medak_Dwaraka_D (Telangana),Medak,Dwaraka,Delivery,Telangana,17.94024726010293,78.19668834347144
Medchal_MROoffce_D (Telangana),Medchal,MROoffce,Delivery,Telangana,17.64723437508252,78.48436218118583
Metpally_GunjRDPP_D (Telangana),Metpally,GunjRDPP,Delivery,Telangana,18.20278061658922,78.90547546538458
Miryalguda_Ragvendr_D (Telangana),Miryalguda,Ragvendr,Delivery,Telangana,16.88348884402452,79.54360376433385
Mothkur_Mainroad_D (Telangana),Mothkur,Mainroad,Delivery,Telangana,17.424092522363765,79.27416536589165
Mulugu_LaxmiNGR_D (Telangana),Mulugu,LaxmiNGR,Delivery,Telangana,18.328559667078622,80.33237736667553
Nalgonda_HydRoad_DC (Telangana),Nalgonda,HydRoad,Distribution Center,Telangana,17.06319997948369,79.2745402578994
Narayankhed_Datatrya_D (Telangana),Narayankhed,Datatrya,Delivery,Telangana,18.05075940030932,77.78471406605965
Narsapur_Xroad_D (Telangana),Narsapur,Xroad,Delivery,Telangana,17.7395213928978,78.26840888559927
Parkal_AmbedDPP_D (Telangana),Parkal,AmbedDPP,Delivery,Telangana,18.183019893199486,79.70345736455334
Patancheru_Ameenpur_I (Telangana),Patancheru,Ameenpur,Intermediate,Telangana,17.526840452219922,78.2860660030113
Peddapalli_UdaynDPP_D (Telangana),Peddapalli,UdaynDPP,Delivery,Telangana,18.609921001541903,79.5006444929805
Ramagundam_Pdmavati_D (Telangana),Ramagundam,Pdmavati,Delivery,Telangana,18.744740915280186,79.4745567859353
Rayaparthi_Perkadrd_D (Telangana),Rayaparthi,Perkadrd,Delivery,Telangana,17.706415196354843,79.61871035251701
Sangareddy_Pothredy_D (Telangana),Sangareddy,Pothredy,Delivery,Telangana,17.884925318496858,77.82221613640688
Sathupally_VidyaNGR_D (Telangana),Sathupally,VidyaNGR,Delivery,Telangana,17.197388630261894,80.84024890645638
Shadnagar_Central_D_1 (Telangana),Shadnagar,Central,Delivery,Telangana,17.076044785089426,78.21303459242776
Shamshabad_Lngrguda_D (Telangana),Shamshabad,Lngrguda,Delivery,Telangana,17.25279574030558,78.40670623323768
Suryapet_Krishna_D (Telangana),Suryapet,Krishna,Delivery,Telangana,17.081534510491586,79.804640055392
Tallada_PtrlBunk_D (Telangana),Tallada,PtrlBunk,Delivery,Telangana,17.23289683939785,80.426988453078
Tandur_SnthiNGR_D (Telangana),Tandur,SnthiNGR,Delivery,Telangana,17.253450162581466,77.60301395576455
Thirumalagiri_Xroad_D (Telangana),Thirumalagiri,Xroad,Delivery,Telangana,16.86333328174087,77.8778289868708
Vemulawada_Central_DPP_2 (Telangana),Vemulawada,Central,Unknown,Telangana,18.468735303042603,78.88654239706014
Vikarabad_Central_DPP_2 (Telangana),Vikarabad,Central,Unknown,Telangana,17.272808523038666,77.75633544948452
Wanaparthy_VallaDPP_D (Telangana),Wanaparthy,VallaDPP,Delivery,Telangana,16.2997328051796,77.98025455456859
Warangal_Central_D_2 (Telangana),Warangal,Central,Delivery,Telangana,17.96448066062287,79.6001447865732
Warangal_HunterRd_I (Telangana),Warangal,HunterRd,Intermediate,Telangana,17.98627198952665,79.58595970214148
Yellandu_Sudimala_D (Telangana),Yellandu,Sudimala,Delivery,Telangana,17.603301394278414,80.3298751951043
Yellareddy_JKRoad_D (Telangana),Yellareddy,JKRoad,Delivery,Telangana,18.200590015301085,78.03916412217824
Zahirabad_Mohim_D (Telangana),Zahirabad,Mohim,Delivery,Telangana,17.673631654444755,77.5941033622239
